frequency,power
1.671274003386038043e+00,8.383205055841837575e-03
1.680101792226945223e+00,1.395033573558768919e-02
1.688929581067852626e+00,1.959445068139785417e-02
1.697757369908759362e+00,2.502365862382198089e-02
1.706585158749666320e+00,2.996097054738050200e-02
1.715412947590573500e+00,3.416083440979757885e-02
1.724240736431480681e+00,3.742656216596622343e-02
1.733068525272387639e+00,3.961728985275549120e-02
1.741896314113294597e+00,4.064563893552870094e-02
1.750724102954201777e+00,4.047242608537798131e-02
1.759551891795108736e+00,3.910365060170704898e-02
1.768379680636015916e+00,3.659215444044387061e-02
1.777207469476922652e+00,3.304376688651101263e-02
1.786035258317830055e+00,2.862384663798904147e-02
1.794863047158737457e+00,2.355644866441783392e-02
1.803690835999644415e+00,1.811021976241109291e-02
1.812518624840551151e+00,1.257335275073577334e-02
1.821346413681458332e+00,7.227059419069680087e-03
1.830174202522365512e+00,2.326610863905580109e-03
1.839001991363272470e+00,1.916390866291358980e-03
1.847829780204179428e+00,5.317788255451604690e-03
1.856657569045086387e+00,7.756536104941973153e-03
1.865485357885993789e+00,9.159552155150314096e-03
1.874313146726900969e+00,9.518602513245525212e-03
1.883140935567807706e+00,8.897062937959238776e-03
1.891968724408714664e+00,7.433024640660403949e-03
1.900796513249621844e+00,5.350503723292210356e-03
1.909624302090529246e+00,3.087128748195857014e-03
1.918452090931435761e+00,2.333514511574064434e-03
1.927279879772342941e+00,4.349169216353610326e-03
1.936107668613250565e+00,6.833962305269568153e-03
1.944935457454157524e+00,8.970616640174313566e-03
1.953763246295064038e+00,1.044163504331770999e-02
1.962591035135971662e+00,1.103761013441716468e-02
1.971418823976878620e+00,1.062427619073189056e-02
1.980246612817785579e+00,9.144493549137407487e-03
1.989074401658692537e+00,6.616793094667588158e-03
1.997902190499599939e+00,3.128246611631153602e-03
2.006729979340506898e+00,1.228226195167007569e-03
2.015557768181413856e+00,6.173394389621163041e-03
2.024385557022320814e+00,1.155952071082752379e-02
2.033213345863227772e+00,1.711148725859936923e-02
2.042041134704135175e+00,2.254185318695674234e-02
2.050868923545042133e+00,2.755434862398248655e-02
2.059696712385949091e+00,3.187135159725756200e-02
2.068524501226856493e+00,3.526330971661327529e-02
2.077352290067763452e+00,3.756820513680717011e-02
2.086180078908670410e+00,3.869505475001362715e-02
2.095007867749577368e+00,3.861500030209764900e-02
2.103835656590484327e+00,3.734910144279602467e-02
2.112663445431391729e+00,3.496087643932285771e-02
2.121491234272298687e+00,3.155677439544676138e-02
2.130319023113205645e+00,2.729207056198358974e-02
2.139146811954113048e+00,2.237490290850880845e-02
2.147974600795020006e+00,1.706008457021922567e-02
2.156802389635926964e+00,1.162943600723932713e-02
2.165630178476833922e+00,6.364742905483261777e-03
2.174457967317740881e+00,1.544206345270378485e-03
2.183285756158648283e+00,2.756713745819128290e-03
2.192113544999555241e+00,6.191093682734676897e-03
2.200941333840462200e+00,8.740183929323311340e-03
2.209769122681369602e+00,1.032887349060973396e-02
2.218596911522276560e+00,1.093942086763960778e-02
2.227424700363183518e+00,1.061252310610247968e-02
2.236252489204090477e+00,9.453060243878380273e-03
2.245080278044997435e+00,7.631711709800178926e-03
2.253908066885904837e+00,5.393901406766984236e-03
2.262735855726811796e+00,3.171842390725612259e-03
2.271563644567718754e+00,2.339434950041069730e-03
2.280391433408626156e+00,3.883319998302476803e-03
2.289219222249533114e+00,5.874348235989373598e-03
2.298047011090440073e+00,7.524902646502053261e-03
2.306874799931347031e+00,8.576142953870134061e-03
2.315702588772253989e+00,8.888860777384995082e-03
2.324530377613161392e+00,8.394556578534018501e-03
2.333358166454068350e+00,7.091381548547481643e-03
2.342185955294975308e+00,5.048322943182172173e-03
2.351013744135882710e+00,2.484484861551918694e-03
2.359841532976789669e+00,1.816989972195513520e-03
2.368669321817696627e+00,5.129057726728290627e-03
2.377497110658603585e+00,8.997367868197315294e-03
2.386324899499510543e+00,1.294434732914756872e-02
2.395152688340417946e+00,1.673222351454076856e-02
2.403980477181324904e+00,2.014652901339950702e-02
2.412808266022231862e+00,2.299786304289484426e-02
2.421636054863139265e+00,2.513856588597705374e-02
2.430463843704046223e+00,2.647369342984507573e-02
2.439291632544953181e+00,2.696055515569204322e-02
2.448119421385860139e+00,2.659958258417658566e-02
2.456947210226767098e+00,2.542380683091090970e-02
2.465774999067674500e+00,2.349335067306989808e-02
2.474602787908581458e+00,2.089686438514636729e-02
2.483430576749488417e+00,1.775673288535302430e-02
2.492258365590395819e+00,1.423179277307301017e-02
2.501086154431302777e+00,1.051242658135031691e-02
2.509913943272209735e+00,6.810088072446951815e-03
