frequency,power
1.490760590503103167e+00,5.275935553091989916e-02
1.499751609274864839e+00,7.232046022329487178e-02
1.508742628046626288e+00,1.389814818154160581e-01
1.517733646818387960e+00,2.080789305442298509e-01
1.526724665590149188e+00,2.668203177286702643e-01
1.535715684361911082e+00,3.068655457151803767e-01
1.544706703133672754e+00,3.216302354633493454e-01
1.553697721905434426e+00,3.067744031567699592e-01
1.562688740677196320e+00,2.609420758924350658e-01
1.571679759448957547e+00,1.860718822913516868e-01
1.580670778220719219e+00,8.713401157212817549e-02
1.589661796992480891e+00,2.855112198147041758e-02
1.598652815764242341e+00,1.515730682290304110e-01
1.607643834536003791e+00,2.713543797099332577e-01
1.616634853307765685e+00,3.760307561780407704e-01
1.625625872079527356e+00,4.532231406336144630e-01
1.634616890851289028e+00,4.910849584845531357e-01
1.643607909623050700e+00,4.797985687501623575e-01
1.652598928394812150e+00,4.130712256775421753e-01
1.661589947166573600e+00,2.893030942227098334e-01
1.670580965938335272e+00,1.161048091483920380e-01
1.679571984710096721e+00,1.402086593215994270e-01
1.688563003481858615e+00,4.071611033612520525e-01
1.697554022253620509e+00,7.105522329160065542e-01
1.706545041025381959e+00,1.031332884572921937e+00
1.715536059797143187e+00,1.351849135319817874e+00
1.724527078568905081e+00,1.652948601386523109e+00
1.733518097340666753e+00,1.915520280233211636e+00
1.742509116112428202e+00,2.122871466300570553e+00
1.751500134884189874e+00,2.262763110454910631e+00
1.760491153655951546e+00,2.328249048061913129e+00
1.769482172427713440e+00,2.317253154562050277e+00
1.778473191199474668e+00,2.231542732675821483e+00
1.787464209971236340e+00,2.075905511267338355e+00
1.796455228742997789e+00,1.857966910681205341e+00
1.805446247514759683e+00,1.588539406696363399e+00
1.814437266286521133e+00,1.281952688608979596e+00
1.823428285058282805e+00,9.556791054128936924e-01
1.832419303830044477e+00,6.289130651778844783e-01
1.841410322601805927e+00,3.205400143658459489e-01
1.850401341373568043e+00,5.188874950741232533e-02
1.859392360145329048e+00,1.858323118997483592e-01
