frequency,power
1.120067571923233363e+00,3.812845195952386385e-02
1.128353929751073625e+00,3.292382312128794286e-02
1.136640287578914110e+00,2.506837082791312302e-02
1.144926645406754373e+00,1.535256745805251184e-02
1.153213003234594636e+00,6.997466464771472106e-03
1.161499361062435121e+00,1.194450983619500632e-02
1.169785718890275383e+00,2.217119684358679482e-02
1.178072076718115646e+00,3.134407343231215143e-02
1.186358434545955909e+00,3.814088372943310462e-02
1.194644792373796172e+00,4.184561162300313303e-02
1.202931150201636656e+00,4.203919327304019710e-02
1.211217508029476919e+00,3.862874961444302119e-02
1.219503865857317182e+00,3.194490599141486253e-02
1.227790223685157667e+00,2.288846087056969555e-02
1.236076581512997929e+00,1.358955087121910092e-02
1.244362939340838192e+00,1.113070605595647619e-02
1.252649297168678455e+00,1.897293819896299708e-02
1.260935654996518718e+00,2.847343105718882703e-02
1.269222012824359203e+00,3.642715875479791976e-02
1.277508370652199465e+00,4.171252498273216730e-02
1.285794728480039728e+00,4.373268064242891856e-02
1.294081086307880213e+00,4.224042497869000268e-02
1.302367444135720476e+00,3.735924559269652306e-02
1.310653801963560738e+00,2.959922458191910008e-02
1.318940159791401001e+00,1.981296529275300075e-02
1.327226517619241264e+00,9.227863682692433178e-03
1.335512875447081749e+00,4.505078095381902063e-03
1.343799233274922011e+00,1.336398352450531533e-02
1.352085591102762274e+00,2.174236797809276159e-02
1.360371948930602759e+00,2.796355272460404606e-02
1.368658306758443022e+00,3.151100385686617100e-02
1.376944664586283285e+00,3.221467075151555892e-02
1.385231022414123547e+00,3.027902527320698242e-02
1.393517380241963810e+00,2.634248464605935119e-02
1.401803738069804295e+00,2.154377028098554067e-02
1.410090095897644558e+00,1.761776869226757553e-02
1.418376453725484820e+00,1.649607373156120396e-02
1.426662811553325305e+00,1.836280637655004350e-02
1.434949169381165568e+00,2.130229573437953522e-02
1.443235527209005831e+00,2.352721415995215684e-02
1.451521885036846315e+00,2.406154423547376964e-02
1.459808242864686356e+00,2.255216432218661027e-02
1.468094600692526841e+00,1.921859327977835930e-02
1.476380958520367104e+00,1.506085911921918423e-02
1.484667316348207367e+00,1.246508810751685570e-02
1.492953674176047851e+00,1.426278832318636676e-02
1.501240032003888114e+00,1.929932367340497432e-02
1.509526389831728377e+00,2.484323215783327404e-02
1.517812747659568640e+00,2.936051042108730677e-02
1.526099105487408902e+00,3.203039245913578970e-02
1.534385463315249387e+00,3.239444730406030454e-02
1.542671821143089650e+00,3.029770249673910051e-02
1.550958178970929913e+00,2.593150042097069549e-02
1.559244536798770620e+00,1.992777314978525643e-02
1.567530894626610438e+00,1.368600484132995870e-02
1.575817252454450923e+00,1.058890476053200164e-02
1.584103610282291186e+00,1.380378610394896767e-02
1.592389968110131448e+00,1.972158187482069003e-02
1.600676325937971933e+00,2.521603636847346425e-02
1.608962683765812196e+00,2.908276714322581558e-02
1.617249041593652459e+00,3.076295321719454273e-02
1.625535399421492944e+00,3.004396184119216204e-02
1.633821757249333206e+00,2.703616172636354870e-02
1.642108115077173469e+00,2.219967478081293077e-02
1.650394472905013510e+00,1.642103335739826878e-02
1.658680830732853995e+00,1.141069187723868159e-02
1.666967188560694479e+00,1.034990347025457717e-02
1.675253546388534742e+00,1.380520360183601879e-02
1.683539904216374783e+00,1.835580973623145151e-02
1.691826262044215490e+00,2.204290838525722537e-02
1.700112619872055753e+00,2.411151089438552664e-02
1.708398977699896237e+00,2.431558368699102135e-02
1.716685335527736278e+00,2.278325804790985384e-02
1.724971693355576541e+00,2.002217438388167320e-02
1.733258051183417248e+00,1.695093377131877063e-02
1.741544409011257288e+00,1.485290975720826752e-02
1.749830766839097551e+00,1.478046873904018989e-02
1.758117124666938036e+00,1.646857373733447844e-02
1.766403482494778077e+00,1.868988238576447039e-02
1.774689840322618561e+00,2.039908252454793527e-02
1.782976198150458824e+00,2.102814088225401362e-02
1.791262555978299087e+00,2.043506153391895161e-02
1.799548913806139572e+00,1.890492147377114199e-02
1.807835271633979835e+00,1.718258882719244859e-02
1.816121629461819875e+00,1.632829026915702531e-02
