time,flux
2.891197425814352300e+03,1.001581430435180664e+00
2.891198814724476506e+03,1.001708865165710449e+00
2.891200203635066373e+03,1.000409841537475586e+00
2.891201592545192398e+03,1.002373695373535156e+00
2.891202981455318422e+03,1.001749038696289062e+00
2.891204370365908744e+03,1.002351641654968262e+00
2.891205759276034314e+03,1.000871062278747559e+00
2.891207148186158975e+03,1.002469778060913086e+00
2.891208537096284545e+03,1.001937508583068848e+00
2.891209926006875776e+03,1.002320170402526855e+00
2.891211314917001346e+03,1.001099944114685059e+00
2.891212703827126006e+03,1.001790165901184082e+00
2.891214092737250212e+03,1.002734899520874023e+00
2.891215481647375327e+03,1.000649333000183105e+00
2.891216870557967013e+03,1.001892805099487305e+00
2.891218259468092583e+03,1.002380490303039551e+00
2.891219648378217698e+03,1.000978827476501465e+00
2.891221037288343268e+03,1.002368211746215820e+00
2.891222426198467929e+03,1.000825881958007812e+00
2.891223815108593499e+03,1.001639842987060325e+00
2.891225204018718159e+03,1.001986742019653098e+00
2.891226592929309390e+03,1.001453876495361106e+00
2.891227981839434051e+03,1.002728819847106712e+00
2.891229370749559621e+03,1.000522971153259277e+00
2.891230759659683827e+03,1.002440690994262695e+00
2.891232148569809397e+03,1.001557946205139160e+00
2.891233537479935421e+03,1.001846075057983176e+00
2.891234926390060991e+03,1.001716971397399902e+00
2.891236315300186561e+03,1.001728892326354758e+00
2.891237704210311222e+03,1.001390814781188743e+00
2.891239093120435882e+03,1.002371668815612793e+00
2.891240482030560997e+03,1.001870393753051536e+00
2.891241870940687022e+03,1.002704262733459473e+00
2.891243259850811683e+03,1.002218008041381836e+00
2.891244648760937253e+03,1.002331256866455078e+00
2.891246037671061913e+03,1.002110600471496360e+00
2.891247426581187028e+03,1.002757430076599121e+00
2.891248815491312598e+03,1.001539230346679688e+00
2.891250204401438623e+03,1.001819968223571555e+00
2.891251593311563283e+03,1.003085017204284668e+00
2.891252982221687944e+03,1.002784371376037598e+00
2.891254371131812604e+03,1.002702593803405540e+00
2.891255760041938174e+03,1.001912355422973633e+00
2.891257148952064654e+03,1.001719355583190696e+00
2.891258537862189314e+03,1.002852439880371094e+00
2.891259926772314884e+03,1.002462148666381836e+00
2.891261315681973429e+03,1.002133250236511230e+00
2.891262704592098999e+03,1.002862453460693137e+00
2.891264093502225023e+03,1.002437114715575950e+00
2.891265482412350138e+03,1.001605987548827903e+00
2.891266871322474344e+03,1.002418398857116699e+00
2.891268260232599914e+03,1.002789020538330078e+00
2.891269649142724575e+03,1.002658009529113547e+00
2.891271038052384938e+03,1.002279758453369141e+00
2.891272426962510963e+03,1.001862049102783203e+00
2.891273815872635623e+03,1.002696514129638672e+00
2.891275204782761193e+03,1.002572059631347656e+00
2.891276593692885399e+03,1.002096176147460715e+00
2.891277982602545762e+03,1.002218723297119141e+00
2.891279371512670423e+03,1.002947688102721946e+00
2.891280760422795993e+03,1.002538681030273438e+00
2.891282149332920653e+03,1.001733660697937012e+00
2.891283538243046223e+03,1.003123760223388672e+00
2.891284927152705222e+03,1.002029299736022727e+00
2.891286316062831247e+03,1.002041816711425559e+00
2.891287704972957272e+03,1.004050612449645996e+00
2.891289093882615816e+03,1.001990914344787598e+00
2.891290482792741386e+03,1.001291394233703613e+00
2.891291871702866047e+03,1.003593683242797852e+00
2.891293260612990252e+03,1.001687169075012207e+00
2.891294649522650616e+03,1.002578973770141602e+00
2.891296038432776641e+03,1.001814126968383567e+00
2.891297427342901301e+03,1.002588748931884766e+00
2.891298816252561210e+03,1.002561688423156738e+00
2.891300205162685415e+03,1.003030300140380859e+00
2.891301594072346234e+03,1.001766681671142356e+00
2.891302982982471804e+03,1.002987980842590332e+00
2.891304371892596919e+03,1.003082036972045898e+00
2.891305760802255918e+03,1.000495553016662376e+00
2.891307149712380578e+03,1.001136064529418723e+00
2.891308538622039578e+03,1.002880454063415527e+00
2.891309927532165602e+03,1.002514362335205078e+00
2.891311316442291627e+03,1.003200769424438477e+00
2.891312705351950626e+03,1.001928091049194336e+00
2.891314094262076196e+03,1.001867055892944336e+00
2.891315483171735195e+03,1.003217697143554688e+00
