time,flux
2.420185346189387019e+03,-7.875836491584777832e-01
2.420186735077596950e+03,-6.708962917327880859e-01
2.420188123965806426e+03,-6.073408126831054688e-01
2.420189512854015902e+03,-5.573402047157287598e-01
2.420190901742224469e+03,-4.466890990734099787e-01
2.420192290630433945e+03,-2.893550395965576172e-01
2.420193679518644331e+03,-2.117687314748764038e-01
2.420195068406852897e+03,-9.269245900213718414e-03
2.420196457294828633e+03,9.804235398769378662e-02
2.420197846183039019e+03,3.404336273670196533e-01
2.420199235071248040e+03,5.305641889572143555e-01
2.420200623959456607e+03,7.585356235504150391e-01
2.420202012847666083e+03,1.094566106796264648e+00
2.420203401735876014e+03,1.289617180824279563e+00
2.420204790624085490e+03,1.664110898971557617e+00
2.420206179512061226e+03,1.954420089721679688e+00
2.420207568400270702e+03,2.236915111541748047e+00
2.420208957288480178e+03,2.512670278549194336e+00
2.420210346176689654e+03,2.766390085220336914e+00
2.420211735064898221e+03,2.944714069366455078e+00
2.420213123953107697e+03,3.038592100143432617e+00
2.420214512841317173e+03,3.156463623046875000e+00
2.420215901729293819e+03,3.198281288146972656e+00
2.420217290617502385e+03,3.268477201461791992e+00
2.420218679505711407e+03,3.322327613830566406e+00
2.420220068393921338e+03,3.416270256042480469e+00
2.420221457282130814e+03,3.462055444717407227e+00
2.420222846170106550e+03,3.566257476806640625e+00
2.420224235058316026e+03,3.637181997299194336e+00
2.420225623946526412e+03,3.830744266510009766e+00
2.420227012834734978e+03,3.976633310317992720e+00
2.420228401722944909e+03,4.076271057128906250e+00
2.420229790610921555e+03,4.333939075469970703e+00
2.420231179499130121e+03,4.458614349365234375e+00
2.420232568387339143e+03,4.671556472778320312e+00
2.420233957275549528e+03,4.861208438873291016e+00
2.420235346163525264e+03,5.065334320068359375e+00
2.420236735051733376e+03,5.218774795532226562e+00
2.420238123939944217e+03,5.397308826446533203e+00
2.420239512828153693e+03,5.591063499450683594e+00
2.420240901716362259e+03,5.668978691101074219e+00
2.420242290604338905e+03,5.842105865478515625e+00
2.420243679492548381e+03,5.948801994323730469e+00
2.420245068380757402e+03,6.061319351196289062e+00
2.420246457268966878e+03,6.137364387512207031e+00
2.420247846156943069e+03,6.210162162780761719e+00
2.420249235045152545e+03,6.256926059722900391e+00
2.420250623933362021e+03,6.338369369506835938e+00
2.420252012821571043e+03,6.270012378692626953e+00
2.420253401709547234e+03,6.305842876434326172e+00
2.420254790597756710e+03,6.333997249603271484e+00
2.420256179485967095e+03,6.341856479644775391e+00
2.420257568374175662e+03,6.308876037597656250e+00
2.420258957262151398e+03,6.331949710845947266e+00
2.420260346150361329e+03,6.226224899291992188e+00
2.420261735038571260e+03,6.258853435516357422e+00
2.420263123926546996e+03,6.209612369537353516e+00
2.420264512814755562e+03,6.156687259674072266e+00
2.420265901702965948e+03,6.126374244689941406e+00
2.420267290591175424e+03,6.061912536621093750e+00
2.420268679479151160e+03,6.081907749176025391e+00
2.420270068367360636e+03,5.992720603942871094e+00
2.420271457255570112e+03,5.966001033782958984e+00
2.420272846143546758e+03,5.899516105651855469e+00
2.420274235031755779e+03,5.847063064575195312e+00
2.420275623919964346e+03,5.773663520812988281e+00
2.420277012807940991e+03,5.756059646606445312e+00
2.420278401696150922e+03,5.715580940246582031e+00
2.420279790584361308e+03,5.635630130767822266e+00
2.420281179472569420e+03,5.558325290679931641e+00
2.420282568360545611e+03,5.550835609436035156e+00
2.420283957248755996e+03,5.476418972015380859e+00
2.420285346136965018e+03,5.438054084777832031e+00
2.420286735024941208e+03,5.371015548706054688e+00
2.420288123913150230e+03,5.323727607727050781e+00
2.420289512801359706e+03,5.282409191131591797e+00
2.420290901689335897e+03,5.216528415679931641e+00
2.420292290577545373e+03,5.142485141754150391e+00
2.420293679465754394e+03,5.138997077941894531e+00
2.420295068353730585e+03,5.106935977935791016e+00
2.420296457241940971e+03,5.032655239105224609e+00
2.420297846130149537e+03,4.973852157592773438e+00
2.420299235018125273e+03,4.960623741149902344e+00
2.420300623906335659e+03,4.918083190917968750e+00
2.420302012794545135e+03,4.864388465881346768e+00
2.420303401682521326e+03,4.797145843505859375e+00
2.420304790570730347e+03,4.799520015716552734e+00
2.420306179458939823e+03,4.756350040435791016e+00
2.420307568346916469e+03,4.711577892303466797e+00
2.420308957235124581e+03,4.654407024383544922e+00
2.420310346123101681e+03,4.631775856018066406e+00
2.420311735011311157e+03,4.605520248413085938e+00
2.420313123899520633e+03,4.536595344543457031e+00
2.420314512787497279e+03,4.494750976562500000e+00
2.420315901675705391e+03,4.485569953918457031e+00
2.420317290563915321e+03,4.461211204528808594e+00
2.420318679451892422e+03,4.372922420501708984e+00
2.420320068340101443e+03,4.368971347808837891e+00
2.420321457228310464e+03,4.336234569549560547e+00
2.420322846116286200e+03,4.257012844085693359e+00
2.420324235004496586e+03,4.237291336059570312e+00
2.420325623892472777e+03,4.211392879486083984e+00
2.420327012780681343e+03,4.176996231079101562e+00
2.420328401668891729e+03,4.130501747131346768e+00
2.420329790556868375e+03,4.086707592010497159e+00
2.420331179445076941e+03,4.024370193481445312e+00
2.420332568333053587e+03,4.031951427459716797e+00
2.420333957221262608e+03,4.008867263793945312e+00
2.420335346109472084e+03,3.952540159225463867e+00
2.420336734997449184e+03,3.919827938079833540e+00
2.420338123885658206e+03,3.902844667434691939e+00
2.420339512773867227e+03,3.871822118759155273e+00
2.420340901661843873e+03,3.852405309677124023e+00
2.420342290550054258e+03,3.799490451812744141e+00
2.420343679438029994e+03,3.784011125564575195e+00
2.420345068326238561e+03,3.740723848342895064e+00
2.420346457214448947e+03,3.730583667755127397e+00
2.420347846102425137e+03,3.686398506164550337e+00
2.420349234990633704e+03,3.683222532272339311e+00
2.420350623878610349e+03,3.637456893920898438e+00
2.420352012766819826e+03,3.620030879974364790e+00
2.420353401654796016e+03,3.571074008941650391e+00
2.420354790543005493e+03,3.520584821701049805e+00
2.420356179431214969e+03,3.529007673263549805e+00
2.420357568319191614e+03,3.473171234130859375e+00
2.420358957207400636e+03,3.441641569137573242e+00
2.420360346095377281e+03,3.425312042236328125e+00
2.420361734983586302e+03,3.387074947357177734e+00
2.420363123871795779e+03,3.319679260253906250e+00
2.420364512759772424e+03,3.295130968093872070e+00
2.420365901647980991e+03,3.297677993774414062e+00
2.420367290535957181e+03,3.233421802520751953e+00
2.420368679424167112e+03,3.258888721466064453e+00
2.420370068312143758e+03,3.187640905380248579e+00
2.420371457200352324e+03,3.178854465484619141e+00
2.420372846088561801e+03,3.130066394805908203e+00
2.420374234976539356e+03,3.161640167236328125e+00
2.420375623864748377e+03,3.127335071563720703e+00
2.420377012752724568e+03,3.045244693756103516e+00
2.420378401640934044e+03,3.053929328918456587e+00
2.420379790528910235e+03,3.026932954788208008e+00
2.420381179417119256e+03,2.955141067504882812e+00
2.420382568305095901e+03,3.018180847167968750e+00
2.420383957193304923e+03,2.920526266098022461e+00
