time,flux
1.956013416861473615e+03,1.375318884849548340e+00
1.956014805745138801e+03,1.444726347923278809e+00
1.956016194628796029e+03,1.465204596519470215e+00
1.956017583512452802e+03,1.474616050720214844e+00
1.956018972396110712e+03,1.487812757492065430e+00
1.956020361279762028e+03,1.466096043586730735e+00
1.956021750163405613e+03,1.497650146484375000e+00
1.956023139047056475e+03,1.492131114006042480e+00
1.956024527930692329e+03,1.485910773277282715e+00
1.956025916814328411e+03,1.525633811950683594e+00
1.956027305697964493e+03,1.537349224090575950e+00
1.956028694581600348e+03,1.545612215995788352e+00
1.956030083465229154e+03,1.554195880889892356e+00
1.956031472348850457e+03,1.566494226455688477e+00
1.956032861232471987e+03,1.549592375755310059e+00
1.956034250116093290e+03,1.569040894508361816e+00
1.956035638999706862e+03,1.600224256515502708e+00
1.956037027883320434e+03,1.595388412475585938e+00
1.956038416766927185e+03,1.588896751403808372e+00
1.956039805650533935e+03,1.646915316581726074e+00
1.956041194534133638e+03,1.653054356575012207e+00
1.956042583417733113e+03,1.652910232543945090e+00
1.956043972301332815e+03,1.626189351081847922e+00
1.956045361184925241e+03,1.628677606582641602e+00
1.956046750068517667e+03,1.625848889350891113e+00
1.956048138952102363e+03,1.645175933837890625e+00
1.956049527835687968e+03,1.657454729080199973e+00
1.956050916719274028e+03,1.653206706047058105e+00
1.956052305602851902e+03,1.659418702125549094e+00
1.956053694486429549e+03,1.692177295684814453e+00
1.956055083369999238e+03,1.670779824256896751e+00
1.956056472253569154e+03,1.656368613243103027e+00
1.956057861137139525e+03,1.669140815734863281e+00
1.956059250020702848e+03,1.676397562026977539e+00
1.956060638904265943e+03,1.674520254135131836e+00
1.956062027787822444e+03,1.700997829437255859e+00
1.956063416671378036e+03,1.723417043685913086e+00
1.956064805554934082e+03,1.721808433532714844e+00
1.956066194438482398e+03,1.734168767929077148e+00
1.956067583322031169e+03,1.741010308265686035e+00
1.956068972205579939e+03,1.730642199516296387e+00
1.956070361089121661e+03,1.754833936691283958e+00
1.956071749972662701e+03,1.764203906059265137e+00
1.956073138856196010e+03,1.797058820724487305e+00
1.956074527739729547e+03,1.794596910476684348e+00
1.956075916623263538e+03,1.803145647048949973e+00
1.956077305506790708e+03,1.791857123374938743e+00
1.956078694390318333e+03,1.796770095825195090e+00
1.956080083273845503e+03,1.794508576393127441e+00
1.956081472157365170e+03,1.784705638885498047e+00
